index	name	color
48	"Right-Thalamus-unused"	#00760e
49	"Right-Thalamus"	#00760e
50	"Right-Caudate"	#7abadc
51	"Right-Putamen"	#ec0db0
52	"Right-Pallidum"	#0d30ff
53	"Right-Hippocampus"	#dcd814
54	"Right-Amygdala"	#67ffff
55	"Right-Insula"	#50c462
56	"Right-Operculum"	#3c3ad2
57	"Right-Lesion"	#ffa500
58	"Right-Accumbens-area"	#ffa500
59	"Right-Substancia-Nigra"	#00ff7f
60	"Right-VentralDC"	#a52a2a
61	"Right-undetermined"	#87ceeb
62	"Right-vessel"	#a020f0
63	"Right-choroid-plexus"	#00c8dd
64	"Right-F3orb"	#643264
65	"Right-lOg"	#87324a
66	"Right-aOg"	#7a8732
67	"Right-mOg"	#333287
68	"Right-pOg"	#4a9b3c
69	"Right-Stellate"	#783e2b
70	"Right-Porg"	#4a9b3c
71	"Right-Aorg"	#7a8732
72	"5th-Ventricle"	#78be96
73	"Left-Interior"	#7a8732
74	"Right-Interior"	#7a8732
77	"WM-hypointensities"	#c846ff
78	"Left-WM-hypointensities"	#ff940a
79	"Right-WM-hypointensities"	#ff940a
80	"non-WM-hypointensities"	#a46ce2
81	"Left-non-WM-hypointensities"	#a46ce2
82	"Right-non-WM-hypointensities"	#a46ce2
83	"Left-F1"	#ffdab9
84	"Right-F1"	#ffdab9
85	"Optic-Chiasm"	#eaa91e
192	"Corpus_Callosum"	#faff32
86	"Left_future_WMSA"	#c878ff
87	"Right_future_WMSA"	#c879ff
88	"future_WMSA"	#c87aff
96	"Left-Amygdala-Anterior"	#cd0a7d
97	"Right-Amygdala-Anterior"	#cd0a7d
98	"Dura"	#a020f0
100	"Left-wm-intensity-abnormality"	#7c8cb2
101	"Left-caudate-intensity-abnormality"	#7d8cb2
102	"Left-putamen-intensity-abnormality"	#7e8cb2
103	"Left-accumbens-intensity-abnormality"	#7f8cb2
104	"Left-pallidum-intensity-abnormality"	#7c8db2
105	"Left-amygdala-intensity-abnormality"	#7c8eb2
106	"Left-hippocampus-intensity-abnormality"	#7c8fb2
107	"Left-thalamus-intensity-abnormality"	#7c90b2
108	"Left-VDC-intensity-abnormality"	#7c8cb3
109	"Right-wm-intensity-abnormality"	#7c8cb2
110	"Right-caudate-intensity-abnormality"	#7d8cb2
111	"Right-putamen-intensity-abnormality"	#7e8cb2
112	"Right-accumbens-intensity-abnormality"	#7f8cb2
113	"Right-pallidum-intensity-abnormality"	#7c8db2
114	"Right-amygdala-intensity-abnormality"	#7c8eb2
115	"Right-hippocampus-intensity-abnormality"	#7c8fb2
116	"Right-thalamus-intensity-abnormality"	#7c90b2
117	"Right-VDC-intensity-abnormality"	#7c8cb3
118	"Epidermis"	#ff1493
119	"Conn-Tissue"	#cdb38b
120	"SC-Fat-Muscle"	#eeeed1
121	"Cranium"	#c8c8c8
122	"CSF-SA"	#4aff4a
123	"Muscle"	#ee0000
124	"Ear"	#00008b
125	"Adipose"	#adff2f
126	"Spinal-Cord"	#85cbe5
127	"Soft-Tissue"	#1aed39
128	"Nerve"	#228b22
129	"Bone"	#1e90ff
130	"AirCavity"	#c4a080
131	"Orbital-Fat"	#ee3b3b
132	"Tongue"	#dd27c8
133	"Nasal-Structures"	#eeaeee
134	"Globe"	#ff0000
135	"Teeth"	#483d8b
136	"Left-Caudate-Putamen"	#152784
137	"Right-Caudate-Putamen"	#152784
138	"Left-Claustrum"	#418714
139	"Right-Claustrum"	#418714
140	"Cornea"	#8604a0
142	"Diploe"	#dde244
143	"Vitreous-Humor"	#fffffe
144	"Lens"	#34d1e2
145	"Aqueous-Humor"	#efa0df
146	"Outer-Table"	#4682b4
147	"Inner-Table"	#4682b5
148	"Periosteum"	#8b795e
149	"Endosteum"	#e0e0e0
150	"R-C-S"	#ff0000
151	"Iris"	#cdcd00
152	"SC-Adipose-Muscle"	#eeeed1
153	"SC-Tissue"	#8b795e
154	"Orbital-Adipose"	#ee3b3b
155	"Left-IntCapsule-Ant"	#ee3b3b
156	"Right-IntCapsule-Ant"	#ee3b3b
157	"Left-IntCapsule-Pos"	#3e0acd
158	"Right-IntCapsule-Pos"	#3e0acd
159	"Left-Cerebral-WM-unmyelinated"	#00760e
160	"Right-Cerebral-WM-unmyelinated"	#00760e
161	"Left-Cerebral-WM-myelinated"	#dcd815
162	"Right-Cerebral-WM-myelinated"	#dcd815
163	"Left-Subcortical-Gray-Matter"	#7abadc
164	"Right-Subcortical-Gray-Matter"	#7abadc
165	"Skull"	#787878
166	"Posterior-fossa"	#0e30ff
167	"Scalp"	#a62a2a
168	"Hematoma"	#791286
169	"Left-Basal-Ganglia"	#ec0d7f
176	"Right-Basal-Ganglia"	#ec0d7e
170	"brainstem"	#779fb0
171	"DCG"	#7700b0
172	"Vermis"	#7764b0
173	"Midbrain"	#f2684c
174	"Pons"	#cec33a
175	"Medulla"	#779fb0
177	"Vermis-White-Matter"	#7732b0
178	"SCP"	#8eb600
179	"Floculus"	#1364b0
180	"Left-Cortical-Dysplasia"	#493d8b
181	"Right-Cortical-Dysplasia"	#493e8b
182	"CblumNodulus"	#0a64b0
193	"Left-hippocampal_fissure"	#00c4ff
194	"Left-CADG-head"	#ffa4a4
195	"Left-subiculum"	#c4c400
196	"Left-fimbria"	#0064ff
197	"Right-hippocampal_fissure"	#80c4a4
198	"Right-CADG-head"	#007e4b
199	"Right-subiculum"	#806040
200	"Right-fimbria"	#003280
201	"alveus"	#ffcc99
202	"perforant_pathway"	#ff8080
203	"parasubiculum"	#afaf4b
204	"presubiculum"	#400040
205	"subiculum"	#0000ff
206	"CA1"	#ff0000
207	"CA2"	#8080ff
208	"CA3"	#008000
209	"CA4"	#c4a080
210	"GC-DG"	#20c8ff
211	"HATA"	#80ff80
212	"fimbria"	#cc99cc
213	"lateral_ventricle"	#791188
214	"molecular_layer_HP"	#800000
215	"hippocampal_fissure"	#8020ff
216	"entorhinal_cortex"	#ffcc66
217	"molecular_layer_subiculum"	#808080
218	"Amygdala"	#68ffff
219	"Cerebral_White_Matter"	#00e200
220	"Cerebral_Cortex"	#cd3f4e
221	"Inf_Lat_Vent"	#c53afa
222	"Perirhinal"	#2196fa
223	"Cerebral_White_Matter_Edge"	#e20000
224	"Background"	#646464
225	"Ectorhinal"	#c596fa
226	"HP_tail"	#aaaaff
231	"HP_body"	#00ff00
232	"HP_head"	#ff0000
233	"presubiculum-head"	#200020
234	"presubiculum-body"	#400040
235	"subiculum-head"	#0000af
236	"subiculum-body"	#0000ff
237	"CA1-head"	#af4b4b
238	"CA1-body"	#ff0000
239	"CA3-head"	#005000
240	"CA3-body"	#008000
241	"CA4-head"	#785a32
242	"CA4-body"	#c4a080
243	"GC-ML-DG-head"	#4b7daf
244	"GC-ML-DG-body"	#20c8ff
245	"molecular_layer_HP-head"	#641919
246	"molecular_layer_HP-body"	#800000
250	"Fornix"	#ff0000
251	"CC_Posterior"	#000040
252	"CC_Mid_Posterior"	#000070
253	"CC_Central"	#0000a0
254	"CC_Mid_Anterior"	#0000d0
255	"CC_Anterior"	#0000ff
256	"Voxel-Unchanged"	#000000
257	"CSF-ExtraCerebral"	#3c3c3c
258	"Head-ExtraCerebral"	#9696c8
259	"SkullApprox"	#787878
260	"BoneOrAir"	#779fb0
261	"PossibleFluid"	#781286
262	"Sinus"	#c4a080
263	"Left-Eustachian"	#779fb0
264	"Right-Eustachian"	#779fb0
265	"Left-Eyeball"	#3c3c3c
266	"Right-Eyeball"	#3c3c3c
331	"Aorta"	#ff0000
332	"Left-Common-IliacA"	#ff5000
333	"Right-Common-IliacA"	#ffa000
334	"Left-External-IliacA"	#ffff00
335	"Right-External-IliacA"	#00ff00
336	"Left-Internal-IliacA"	#ff00a0
337	"Right-Internal-IliacA"	#ff00ff
338	"Left-Lateral-SacralA"	#ff3250
339	"Right-Lateral-SacralA"	#50ff32
340	"Left-ObturatorA"	#a0ff32
341	"Right-ObturatorA"	#a0c8ff
342	"Left-Internal-PudendalA"	#00ffa0
343	"Right-Internal-PudendalA"	#0000ff
344	"Left-UmbilicalA"	#5032ff
345	"Right-UmbilicalA"	#a000ff
346	"Left-Inf-RectalA"	#ffd200
347	"Right-Inf-RectalA"	#00a0ff
348	"Left-Common-IliacV"	#ffc850
349	"Right-Common-IliacV"	#ffc8a0
350	"Left-External-IliacV"	#ff50c8
351	"Right-External-IliacV"	#ffa0c8
352	"Left-Internal-IliacV"	#1eff50
353	"Right-Internal-IliacV"	#50c8ff
354	"Left-ObturatorV"	#50ffc8
355	"Right-ObturatorV"	#c3ffc8
356	"Left-Internal-PudendalV"	#78c814
357	"Right-Internal-PudendalV"	#aa0ac8
358	"Pos-Lymph"	#1482b4
359	"Neg-Lymph"	#14b482
400	"V1"	#ce3e4e
401	"V2"	#791286
402	"BA44"	#c73afa
403	"BA45"	#019400
404	"BA4a"	#ddf8a4
405	"BA4p"	#e79422
406	"BA6"	#01760e
407	"BA2"	#78760e
408	"BA1_old"	#7bbadd
409	"BAun2"	#ee0db1
410	"BA1"	#7bbadc
411	"BA2b"	#8a0dce
412	"BA3a"	#ee82b0
413	"BA3b"	#dae64c
414	"MT"	#26d5b0
415	"AIPS_AIP_l"	#01e1b0
416	"AIPS_AIP_r"	#01e1b0
417	"AIPS_VIP_l"	#c80264
418	"AIPS_VIP_r"	#c80264
419	"IPL_PFcm_l"	#05c85a
420	"IPL_PFcm_r"	#05c85a
421	"IPL_PF_l"	#6405c8
422	"IPL_PFm_l"	#19ff64
423	"IPL_PFm_r"	#19ff64
424	"IPL_PFop_l"	#e60764
425	"IPL_PFop_r"	#e60764
426	"IPL_PF_r"	#6405c8
427	"IPL_PFt_l"	#960ac8
428	"IPL_PFt_r"	#960ac8
429	"IPL_PGa_l"	#af0ab0
430	"IPL_PGa_r"	#af0ab0
431	"IPL_PGp_l"	#0a64ff
432	"IPL_PGp_r"	#0a64ff
433	"Visual_V3d_l"	#962d46
434	"Visual_V3d_r"	#962d46
435	"Visual_V4_l"	#2dc80f
436	"Visual_V4_r"	#2dc80f
437	"Visual_V5_b"	#e32d64
438	"Visual_VP_l"	#e32d64
439	"Visual_VP_r"	#e32d64
498	"wmsa"	#8fbc8f
499	"other_wmsa"	#fff8dc
500	"right_CA2_3"	#115588
501	"right_alveus"	#77bb66
502	"right_CA1"	#cc4422
503	"right_fimbria"	#cc00ff
504	"right_presubiculum"	#ddbb11
505	"right_hippocampal_fissure"	#99ddee
506	"right_CA4_DG"	#331111
507	"right_subiculum"	#007755
508	"right_fornix"	#1464c8
550	"left_CA2_3"	#115589
551	"left_alveus"	#77bb67
552	"left_CA1"	#cc4423
553	"left_fimbria"	#cc00fe
554	"left_presubiculum"	#ddbb10
555	"left_hippocampal_fissure"	#99ddef
556	"left_CA4_DG"	#331112
557	"left_subiculum"	#007756
558	"left_fornix"	#1464c9
600	"Tumor"	#fefefe
601	"Cbm_Left_I_IV"	#4682b4
602	"Cbm_Right_I_IV"	#f5f5f5
603	"Cbm_Left_V"	#cd3e4e
604	"Cbm_Right_V"	#781286
605	"Cbm_Left_VI"	#c43afa
606	"Cbm_Vermis_VI"	#009400
607	"Cbm_Right_VI"	#dcf8a4
608	"Cbm_Left_CrusI"	#e69422
609	"Cbm_Vermis_CrusI"	#00760e
610	"Cbm_Right_CrusI"	#00760e
611	"Cbm_Left_CrusII"	#7abadc
612	"Cbm_Vermis_CrusII"	#ec0db0
613	"Cbm_Right_CrusII"	#0c30ff
614	"Cbm_Left_VIIb"	#ccb68e
615	"Cbm_Vermis_VIIb"	#2acca4
616	"Cbm_Right_VIIb"	#779fb0
617	"Cbm_Left_VIIIa"	#dcd814
618	"Cbm_Vermis_VIIIa"	#67ffff
619	"Cbm_Right_VIIIa"	#50c462
620	"Cbm_Left_VIIIb"	#3c3ad2
621	"Cbm_Vermis_VIIIb"	#3c3ad2
622	"Cbm_Right_VIIIb"	#3c3ad2
623	"Cbm_Left_IX"	#3c3ad2
624	"Cbm_Vermis_IX"	#3c3c3c
625	"Cbm_Right_IX"	#ffa500
626	"Cbm_Left_X"	#ffa500
627	"Cbm_Vermis_X"	#00ff7f
628	"Cbm_Right_X"	#a52a2a
640	"Cbm_Right_I_V_med"	#cc0000
641	"Cbm_Right_I_V_mid"	#ff0000
642	"Cbm_Right_VI_med"	#0000ff
643	"Cbm_Right_VI_mid"	#1e90ff
644	"Cbm_Right_VI_lat"	#64d4ed
645	"Cbm_Right_CrusI_med"	#daa520
646	"Cbm_Right_CrusI_mid"	#ffd700
647	"Cbm_Right_CrusI_lat"	#ffffa6
648	"Cbm_Right_CrusII_med"	#9900cc
649	"Cbm_Right_CrusII_mid"	#998dd1
650	"Cbm_Right_CrusII_lat"	#ccccff
651	"Cbm_Right_7med"	#1fd4c2
652	"Cbm_Right_7mid"	#03ffed
653	"Cbm_Right_7lat"	#ccffff
654	"Cbm_Right_8med"	#564a93
655	"Cbm_Right_8mid"	#7272be
656	"Cbm_Right_8lat"	#b8b2ff
657	"Cbm_Right_PUNs"	#7e8a25
658	"Cbm_Right_TONs"	#bdc575
659	"Cbm_Right_FLOs"	#f0e68c
660	"Cbm_Left_I_V_med"	#cc0000
661	"Cbm_Left_I_V_mid"	#ff0000
662	"Cbm_Left_VI_med"	#0000ff
663	"Cbm_Left_VI_mid"	#1e90ff
664	"Cbm_Left_VI_lat"	#64d4ed
665	"Cbm_Left_CrusI_med"	#daa520
666	"Cbm_Left_CrusI_mid"	#ffd700
667	"Cbm_Left_CrusI_lat"	#ffffa6
668	"Cbm_Left_CrusII_med"	#9900cc
669	"Cbm_Left_CrusII_mid"	#998dd1
670	"Cbm_Left_CrusII_lat"	#ccccff
671	"Cbm_Left_7med"	#1fd4c2
672	"Cbm_Left_7mid"	#03ffed
673	"Cbm_Left_7lat"	#ccffff
674	"Cbm_Left_8med"	#564a93
675	"Cbm_Left_8mid"	#7272be
676	"Cbm_Left_8lat"	#b8b2ff
677	"Cbm_Left_PUNs"	#7e8a25
678	"Cbm_Left_TONs"	#bdc575
679	"Cbm_Left_FLOs"	#f0e68c
690	"CbmWM_Gyri_Left"	#7a8732
691	"CbmWM_Gyri_Right"	#7a8732
701	"CSF-FSL-FAST"	#781286
702	"GrayMatter-FSL-FAST"	#cd3e4e
703	"WhiteMatter-FSL-FAST"	#00e100
999	"SUSPICIOUS"	#ff6464
1000	"ctx-lh-unknown"	#190519
1001	"ctx-lh-bankssts"	#196428
1002	"ctx-lh-caudalanteriorcingulate"	#7d64a0
1003	"ctx-lh-caudalmiddlefrontal"	#641900
1004	"ctx-lh-corpuscallosum"	#784632
1005	"ctx-lh-cuneus"	#dc1464
1006	"ctx-lh-entorhinal"	#dc140a
1007	"ctx-lh-fusiform"	#b4dc8c
1008	"ctx-lh-inferiorparietal"	#dc3cdc
1009	"ctx-lh-inferiortemporal"	#b42878
1010	"ctx-lh-isthmuscingulate"	#8c148c
1011	"ctx-lh-lateraloccipital"	#141e8c
1012	"ctx-lh-lateralorbitofrontal"	#234b32
1013	"ctx-lh-lingual"	#e18c8c
1014	"ctx-lh-medialorbitofrontal"	#c8234b
1015	"ctx-lh-middletemporal"	#a06432
1016	"ctx-lh-parahippocampal"	#14dc3c
1017	"ctx-lh-paracentral"	#3cdc3c
1018	"ctx-lh-parsopercularis"	#dcb48c
1019	"ctx-lh-parsorbitalis"	#146432
1020	"ctx-lh-parstriangularis"	#dc3c14
1021	"ctx-lh-pericalcarine"	#78643c
1022	"ctx-lh-postcentral"	#dc1414
1023	"ctx-lh-posteriorcingulate"	#dcb4dc
1024	"ctx-lh-precentral"	#3c14dc
1025	"ctx-lh-precuneus"	#a08cb4
1026	"ctx-lh-rostralanteriorcingulate"	#50148c
1027	"ctx-lh-rostralmiddlefrontal"	#4b327d
1028	"ctx-lh-superiorfrontal"	#14dca0
1029	"ctx-lh-superiorparietal"	#14b48c
1030	"ctx-lh-superiortemporal"	#8cdcdc
1031	"ctx-lh-supramarginal"	#50a014
1032	"ctx-lh-frontalpole"	#640064
1033	"ctx-lh-temporalpole"	#464646
1034	"ctx-lh-transversetemporal"	#9696c8
1035	"ctx-lh-insula"	#ffc020
2000	"ctx-rh-unknown"	#190519
2001	"ctx-rh-bankssts"	#196428
2002	"ctx-rh-caudalanteriorcingulate"	#7d64a0
2003	"ctx-rh-caudalmiddlefrontal"	#641900
2004	"ctx-rh-corpuscallosum"	#784632
2005	"ctx-rh-cuneus"	#dc1464
2006	"ctx-rh-entorhinal"	#dc140a
2007	"ctx-rh-fusiform"	#b4dc8c
2008	"ctx-rh-inferiorparietal"	#dc3cdc
2009	"ctx-rh-inferiortemporal"	#b42878
2010	"ctx-rh-isthmuscingulate"	#8c148c
2011	"ctx-rh-lateraloccipital"	#141e8c
2012	"ctx-rh-lateralorbitofrontal"	#234b32
2013	"ctx-rh-lingual"	#e18c8c
2014	"ctx-rh-medialorbitofrontal"	#c8234b
2015	"ctx-rh-middletemporal"	#a06432
2016	"ctx-rh-parahippocampal"	#14dc3c
2017	"ctx-rh-paracentral"	#3cdc3c
2018	"ctx-rh-parsopercularis"	#dcb48c
2019	"ctx-rh-parsorbitalis"	#146432
2020	"ctx-rh-parstriangularis"	#dc3c14
2021	"ctx-rh-pericalcarine"	#78643c
2022	"ctx-rh-postcentral"	#dc1414
2023	"ctx-rh-posteriorcingulate"	#dcb4dc
2024	"ctx-rh-precentral"	#3c14dc
2025	"ctx-rh-precuneus"	#a08cb4
2026	"ctx-rh-rostralanteriorcingulate"	#50148c
2027	"ctx-rh-rostralmiddlefrontal"	#4b327d
2028	"ctx-rh-superiorfrontal"	#14dca0
2029	"ctx-rh-superiorparietal"	#14b48c
2030	"ctx-rh-superiortemporal"	#8cdcdc
2031	"ctx-rh-supramarginal"	#50a014
2032	"ctx-rh-frontalpole"	#640064
2033	"ctx-rh-temporalpole"	#464646
2034	"ctx-rh-transversetemporal"	#9696c8
2035	"ctx-rh-insula"	#ffc020
3000	"wm-lh-unknown"	#e6fae6
3001	"wm-lh-bankssts"	#e69bd7
3002	"wm-lh-caudalanteriorcingulate"	#829b5f
3003	"wm-lh-caudalmiddlefrontal"	#9be6ff
3004	"wm-lh-corpuscallosum"	#87b9cd
3005	"wm-lh-cuneus"	#23eb9b
3006	"wm-lh-entorhinal"	#23ebf5
3007	"wm-lh-fusiform"	#4b2373
3008	"wm-lh-inferiorparietal"	#23c323
3009	"wm-lh-inferiortemporal"	#4bd787
3010	"wm-lh-isthmuscingulate"	#73eb73
3011	"wm-lh-lateraloccipital"	#ebe173
3012	"wm-lh-lateralorbitofrontal"	#dcb4cd
3013	"wm-lh-lingual"	#1e7373
3014	"wm-lh-medialorbitofrontal"	#37dcb4
3015	"wm-lh-middletemporal"	#5f9bcd
3016	"wm-lh-parahippocampal"	#eb23c3
3017	"wm-lh-paracentral"	#c323c3
3018	"wm-lh-parsopercularis"	#234b73
3019	"wm-lh-parsorbitalis"	#eb9bcd
3020	"wm-lh-parstriangularis"	#23c3eb
3021	"wm-lh-pericalcarine"	#879bc3
3022	"wm-lh-postcentral"	#23ebeb
3023	"wm-lh-posteriorcingulate"	#234b23
3024	"wm-lh-precentral"	#c3eb23
3025	"wm-lh-precuneus"	#5f734b
3026	"wm-lh-rostralanteriorcingulate"	#afeb73
3027	"wm-lh-rostralmiddlefrontal"	#b4cd82
3028	"wm-lh-superiorfrontal"	#eb235f
3029	"wm-lh-superiorparietal"	#eb4b73
3030	"wm-lh-superiortemporal"	#732323
3031	"wm-lh-supramarginal"	#af5feb
3032	"wm-lh-frontalpole"	#9bff9b
3033	"wm-lh-temporalpole"	#b9b9b9
3034	"wm-lh-transversetemporal"	#696937
3035	"wm-lh-insula"	#14dca0
4000	"wm-rh-unknown"	#e6fae6
4001	"wm-rh-bankssts"	#e69bd7
4002	"wm-rh-caudalanteriorcingulate"	#829b5f
4003	"wm-rh-caudalmiddlefrontal"	#9be6ff
4004	"wm-rh-corpuscallosum"	#87b9cd
4005	"wm-rh-cuneus"	#23eb9b
4006	"wm-rh-entorhinal"	#23ebf5
4007	"wm-rh-fusiform"	#4b2373
4008	"wm-rh-inferiorparietal"	#23c323
4009	"wm-rh-inferiortemporal"	#4bd787
4010	"wm-rh-isthmuscingulate"	#73eb73
4011	"wm-rh-lateraloccipital"	#ebe173
4012	"wm-rh-lateralorbitofrontal"	#dcb4cd
4013	"wm-rh-lingual"	#1e7373
4014	"wm-rh-medialorbitofrontal"	#37dcb4
4015	"wm-rh-middletemporal"	#5f9bcd
4016	"wm-rh-parahippocampal"	#eb23c3
4017	"wm-rh-paracentral"	#c323c3
4018	"wm-rh-parsopercularis"	#234b73
4019	"wm-rh-parsorbitalis"	#eb9bcd
4020	"wm-rh-parstriangularis"	#23c3eb
4021	"wm-rh-pericalcarine"	#879bc3
4022	"wm-rh-postcentral"	#23ebeb
4023	"wm-rh-posteriorcingulate"	#234b23
4024	"wm-rh-precentral"	#c3eb23
4025	"wm-rh-precuneus"	#5f734b
4026	"wm-rh-rostralanteriorcingulate"	#afeb73
4027	"wm-rh-rostralmiddlefrontal"	#b4cd82
4028	"wm-rh-superiorfrontal"	#eb235f
4029	"wm-rh-superiorparietal"	#eb4b73
4030	"wm-rh-superiortemporal"	#732323
4031	"wm-rh-supramarginal"	#af5feb
4032	"wm-rh-frontalpole"	#9bff9b
4033	"wm-rh-temporalpole"	#b9b9b9
4034	"wm-rh-transversetemporal"	#696937
4035	"wm-rh-insula"	#14dca0
1301	"ctx-lh-frontal-lobe"	#196428
1303	"ctx-lh-cingulate-lobe"	#641900
1304	"ctx-lh-occiptal-lobe"	#784632
1305	"ctx-lh-temporal-lobe"	#dc1464
1306	"ctx-lh-parietal-lobe"	#dc140a
1307	"ctx-lh-insula-lobe"	#ffc020
2301	"ctx-rh-frontal-lobe"	#196428
2303	"ctx-rh-cingulate-lobe"	#641900
2304	"ctx-rh-occiptal-lobe"	#784632
2305	"ctx-rh-temporal-lobe"	#dc1464
2306	"ctx-rh-parietal-lobe"	#dc140a
2307	"ctx-rh-insula-lobe"	#ffc020
3201	"wm-lh-frontal-lobe"	#eb235f
3203	"wm-lh-cingulate-lobe"	#234b23
3204	"wm-lh-occiptal-lobe"	#879bc3
3205	"wm-lh-temporal-lobe"	#732323
3206	"wm-lh-parietal-lobe"	#23c323
3207	"wm-lh-insula-lobe"	#14dca0
4201	"wm-rh-frontal-lobe"	#eb235f
4203	"wm-rh-cingulate-lobe"	#234b23
4204	"wm-rh-occiptal-lobe"	#879bc3
4205	"wm-rh-temporal-lobe"	#732323
4206	"wm-rh-parietal-lobe"	#23c323
4207	"wm-rh-insula-lobe"	#14dca0
1100	"ctx-lh-Unknown"	#000000
1101	"ctx-lh-Corpus_callosum"	#323232
1102	"ctx-lh-G_and_S_Insula_ONLY_AVERAGE"	#b4141e
1103	"ctx-lh-G_cingulate-Isthmus"	#3c1919
1104	"ctx-lh-G_cingulate-Main_part"	#193c3c
1200	"ctx-lh-G_cingulate-caudal_ACC"	#193c3d
1201	"ctx-lh-G_cingulate-rostral_ACC"	#195a3c
1202	"ctx-lh-G_cingulate-posterior"	#19783c
1205	"ctx-lh-S_cingulate-caudal_ACC"	#19963c
1206	"ctx-lh-S_cingulate-rostral_ACC"	#19b43c
1207	"ctx-lh-S_cingulate-posterior"	#19d23c
1210	"ctx-lh-S_pericallosal-caudal"	#19965a
1211	"ctx-lh-S_pericallosal-rostral"	#19b45a
1212	"ctx-lh-S_pericallosal-posterior"	#19d25a
1105	"ctx-lh-G_cuneus"	#b41414
1106	"ctx-lh-G_frontal_inf-Opercular_part"	#dc1464
1107	"ctx-lh-G_frontal_inf-Orbital_part"	#8c3c3c
1108	"ctx-lh-G_frontal_inf-Triangular_part"	#b4dc8c
1109	"ctx-lh-G_frontal_middle"	#8c64b4
1110	"ctx-lh-G_frontal_superior"	#b4148c
1111	"ctx-lh-G_frontomarginal"	#8c148c
1112	"ctx-lh-G_insular_long"	#150a0a
1113	"ctx-lh-G_insular_short"	#e18c8c
1114	"ctx-lh-G_and_S_occipital_inferior"	#173cb4
1115	"ctx-lh-G_occipital_middle"	#b43cb4
1116	"ctx-lh-G_occipital_superior"	#14dc3c
1117	"ctx-lh-G_occipit-temp_lat-Or_fusiform"	#3c148c
1118	"ctx-lh-G_occipit-temp_med-Lingual_part"	#dcb48c
1119	"ctx-lh-G_occipit-temp_med-Parahippocampal_part"	#416414
1120	"ctx-lh-G_orbital"	#dc3c14
1121	"ctx-lh-G_paracentral"	#3c643c
1122	"ctx-lh-G_parietal_inferior-Angular_part"	#143cdc
1123	"ctx-lh-G_parietal_inferior-Supramarginal_part"	#64643c
1124	"ctx-lh-G_parietal_superior"	#dcb4dc
1125	"ctx-lh-G_postcentral"	#14b48c
1126	"ctx-lh-G_precentral"	#3c8cb4
1127	"ctx-lh-G_precuneus"	#19148c
1128	"ctx-lh-G_rectus"	#143c64
1129	"ctx-lh-G_subcallosal"	#3cdc14
1130	"ctx-lh-G_subcentral"	#3c14dc
1131	"ctx-lh-G_temporal_inferior"	#dcdc64
1132	"ctx-lh-G_temporal_middle"	#b43c3c
1133	"ctx-lh-G_temp_sup-G_temp_transv_and_interm_S"	#3c3cdc
1134	"ctx-lh-G_temp_sup-Lateral_aspect"	#dc3cdc
1135	"ctx-lh-G_temp_sup-Planum_polare"	#41dc3c
1136	"ctx-lh-G_temp_sup-Planum_tempolare"	#198c14
1137	"ctx-lh-G_and_S_transverse_frontopolar"	#0d00fa
1138	"ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal"	#3d14dc
1139	"ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical"	#3d143c
1140	"ctx-lh-Lat_Fissure-post_sgt"	#3d3c64
1141	"ctx-lh-Medial_wall"	#191919
1142	"ctx-lh-Pole_occipital"	#8c143c
1143	"ctx-lh-Pole_temporal"	#dcb414
